PlayerName,AV
Cary Williams\WillCa99,13
Stefen Wisniewski\WisnSt01,13
Keith Adams\AdamKe20,12
Nnamdi Asomugha\AsomNn20,12
Lee Bouggess\BougLe00,12
Nolan Carroll\CarrNo00,12
Jamar Chaney\ChanJa98,12
Joe Conwell\ConwJo20,12
Ronald Darby\DarbRo00,12
Tom Dempsey\DempTo20,12
Bradley Fletcher\FletBr99,12
Ron Goodwin\GoodRo00,12
Gene Gossage\GossGe20,12
Al Harris\HarrAl21,12
Richard Harris\HarrRi21,12
Fred Hill\HillFr00,12
Timmy Jernigan\JernTi00,12
Jim Nettles\NettJi20,12
Hubie Oliver\OlivHu00,12
Ray Poage\PoagRa00,12
Ken Reeves\ReevKe20,12
Jessie Small\SmalJe20,12
Nate Wayne\WaynNa20,12
Billy Ray Barnes\BarnBi00,11
Derrick Burgess\BurgDe99,11
Jake Elliott\ElliJa03,11
Dallas Goedert\GoedDa00,11
Paul Grasmanis\GrasPa20,11
Al Harris\HarrAl20,11
Leroy Harris\HarrLe01,11
Claude Humphrey\HumpCl00,11
Ike Kelley\KellIk20,11
Aaron Martin\MartAa20,11
William Perry\PerrWi20,11
Roger Ruzek\ruzekrog01,11
Ben Scotti\ScotBe20,11
Torrance Small\SmalTo00,11
Terry Tautolo\TautTe20,11
Adrian Young\YounAd20,11
Doug Brzezinski\BrzeDo20,10
Mike Dirks\DirkMi20,10
Rasul Douglas\DougRa00,10
Gerry Feehery\FeehGe20,10
Eric Floyd\FloyEr20,10
Gregg Garrity\GarrGr00,10
Blenda Gay\GayxBl20,10
Kamu Grugier-Hill\GrugKa00,10
Roderick Hood\HoodRo20,10
Lynn Hoyem\HoyeLy20,10
Charles Johnson\JohnCh00,10
Ron Johnson\JohnRo01,10
Chris Jones\JoneCh01,10
Donnie Jones\JoneDo21,10
James Joseph\JoseJa00,10
Howard Keys\KeysHo20,10
Sean Landeta\LandSe20,10
Pete Liske\LiskPe00,10
Avonte Maddox\MaddAv00,10
Casey Matthews\MattCa00,10
Dean Miraldi\MiraDe20,10
Ray Phillips\PhilRa20,10
Max Runager\RunaMa20,10
Kevin Turner\TurnKe00,10
Hank Baskett\BaskHa00,9
Ian Beckles\BeckIa20,9
Randy Beisler\BeisRa20,9
Sam Bradford\BradSa00,9
Sean Considine\ConsSe20,9
Evan Cooper\CoopEv20,9
T.J. Edwards\EdwaTJ02,9
Ray Farmer\FarmRa20,9
Perry Harrington\HarrPe00,9
Alex Henery\HeneAl00,9
Joe Jones\JoneJo21,9
Levon Kirkland\KirkLe00,9
