PlayerName,YearFrom,YearTo,GamesPlayed,Position,After1960
Billy Campfield\CampBi00,1978,1982,69,RB,1
Perry Harrington\HarrPe00,1980,1983,42,RB,1
Ken Keller\KellKe20,1956,1957,23,LH,0
Vaughn Hebron\HebrVa00,1993,1994,32,KR,1
Jay Ajayi\AjayJa00,2017,2019,14,RB,1
Boston Scott\ScotBo02,2018,2020,29,RB,1
Ollie Matson\MatsOl00,1964,1966,40,KR,1
James McAlister\McAlJa00,1975,1976,27,RB,1
Norm Bulaich\BulaNo00,1973,1974,25,RB,1
Jordan Howard\HowaJo00,2019,2020,12,RB,1
Jerry Williams\WillJe23,1953,1954,23,LDH,0
Josh Adams\AdamJo03,2018,2018,14,RB,1
Herb Lusk\LuskHe01,1976,1978,28,RB,1
Mel Bleeker\BleeMe20,1944,1946,17,HB,0
Michael Williams\WillMi01,1983,1984,31,RB,1
Jack Myers\MyerJa20,1948,1950,36,FB,0
Larry Watkins\WatkLa00,1970,1972,37,RB,1
Don Johnson\JohnDo21,1953,1955,20,HB,0
Clyde Scott\ScotCl21,1949,1952,23,HB,0
Tony Baker\BakeTo00,1971,1972,18,RB,1
John Huzvar\HuzvJo20,1952,1952,12,FB,0
Al Pollard\PollAl20,1951,1953,30,KR,0
Ryan Moats\MoatRy00,2005,2006,15,RB,1
Ben Kish\KishBe20,1943,1949,67,B,0
Art Malone\MaloAr00,1975,1976,16,RB,1
Jack Banta\BantJa20,1941,1945,18,RH,0
Darnell Autry\AutrDa00,2000,2000,11,RB,1
Thomas Sanders\SandTh00,1990,1991,15,RB,1
Leonard Weaver\WeavLe00,2009,2010,17,RB,1
Kenjon Barner\BarnKe00,2014,2017,36,RB,1
Bob Thurbon\ThurBo20,1943,1943,10,HB,0
Rob Goode\GoodRo01,1955,1955,8,FB,0
John Brewer\BrewJo21,1952,1953,18,FB,0
Chris Polk\PolkCh00,2012,2014,36,RB,1
Dave Hampton\HampDa00,1976,1976,8,FB,1
Gil Steinke\SteiGi20,1945,1948,25,HB,0
James Betterson\BettJa00,1977,1978,23,RB,1
Theron Sapp\SappTh00,1959,1963,47,FB,1
Neil Worden\WordNe20,1954,1957,24,FB,0
Junior Tautalatasi\TautJu00,1986,1988,38,RB,1
Joe Muha\MuhaJo20,1946,1950,56,FB,0
Kevin Turner\TurnKe00,1995,1999,58,FB,1
Ted Wegert\WegeTe00,1955,1956,14,HB,0
Jerome Harrison\HarrJe00,2010,2010,8,RB,1
Noble Doss\DossNo20,1947,1948,20,HB,0
James Thrash\ThraJa00,2001,2003,47,WR,1
Russ Craft\CrafRu00,1946,1953,89,LDH,0
Dick Bielski\BielDi00,1955,1959,60,E,0
Stanley Pritchett\PritSt00,2000,2000,16,FB,1
Bob Davis\DaviBo21,1942,1942,10,PR,0
Ralph Goldston\GoldRa20,1952,1955,27,HB,0
Pat McHugh\McHuPa20,1947,1951,51,DB,0
Reno Mahe\MaheRe00,2003,2007,55,PR,1
Robert Drummond\DrumRo00,1989,1991,36,RB,1
Tom Bailey\BailTo00,1971,1974,50,RB,1
Mark Higgs\HiggMa00,1989,1989,15,RB,1
Ted Williams\WillTe20,1942,1942,11,B,0
Lamar Gordon\GordLa00,2005,2005,14,RB,1
Dion Lewis\LewiDi00,2011,2012,24,RB,1
Cleveland Franklin\FranCl00,1977,1978,30,RB,1
Charlie Smith\SmitCh00,1974,1981,118,WR,1
Art Macioszczyk\MaciAr20,1944,1947,21,FB,0
Fran Murray\MurrFr20,1939,1940,22,P,0
Lou Tomasetti\TomaLo20,1941,1942,16,FB,0
Ronnie Brown\BrowRo05,2011,2011,16,RB,1
Reggie Brown\BrowRe20,1987,1987,3,RB,1
Abe Karnofsky\KarnAb20,1945,1945,8,QB,0
Calvin Murray\MurrCa20,1981,1982,8,RB,1
Booker Russell\RussBo00,1981,1981,12,RB,1
Harold Jackson\JackHa00,1969,1972,56,WR,1
Bill Olds\OldsBi00,1976,1976,11,RB,1
Dom Moselle\MoseDo20,1954,1954,12,DB,0
Jacque Robinson\RobiJa21,1987,1987,3,FB,1
Dan Sandifer\SandDa21,1950,1951,17,DB,0
Eldra Buckley\BuckEl00,2009,2010,32,RB,1
Cecil Martin\MartCe00,1999,2002,60,FB,1
Elmer Hackney\HackEl20,1940,1940,8,FB,0
Frank LeMaster\LeMaFr00,1974,1982,129,RILB,1
Terry Fox\FoxxTe20,1941,1945,13,FB,0
Don Stevens\StevDo20,1952,1954,15,RH,0
Dick Erdlitz\ErdlDi20,1942,1945,17,HB,0
Billy Wells\WellBi00,1958,1958,12,PR,0
Charles Crawford\CrawCh00,1986,1987,18,RB,1
Harry Jones\JoneHa01,1967,1970,29,RB,1
Walt Kowalczyk\KowaWa00,1958,1959,24,FB,0
John Cole\ColeJo20,1938,1940,18,FB,0
Kyle Eckel\EckeKy00,2008,2008,5,RB,1
Larry Barnes\BarnLa00,1978,1979,23,RB,1
Frank Emmons\EmmoFr20,1940,1940,11,FB,0
Eric Bieniemy\BienEr00,1999,1999,16,RB,1
Bruce Perry\PerrBr01,2005,2006,5,RB,1
Will Berzinski\BerzWi00,1956,1956,4,HB,0
Mort Landsberg\LandMo20,1941,1941,11,RH,0
Thomas Tapeh\TapeTh00,2004,2007,39,FB,1
Sam Bartholomew\BartSa20,1941,1941,9,FB,0
Charle Young\YounCh00,1973,1976,56,TE,1
Charlie Gauer\GaueCh20,1943,1945,23,FB,0
Reggie Brown\BrowRe01,2005,2009,72,WR,1
Byron Marshall\MarsBy01,2016,2016,3,RB,1
Ebert Van Buren\VanBEb20,1951,1953,36,DB,0
Roger Vick\VickRo00,1990,1990,14,FB,1
Fred Gloden\GlodFr20,1941,1941,6,HB,0
Corey Walker\WalkCo00,1998,1998,14,RB,1
Frank Reagan\ReagFr20,1949,1951,36,P,0
Bert Johnson\JohnBe21,1942,1942,7,FB,0
Alvin Ross\RossAl20,1987,1987,2,RB,1
Eric McCoo\McCoEr00,2004,2004,1,RB,1
Lorenzo Booker\BookLo00,2008,2008,10,RB,1
Kenny Jackson\JackKe01,1984,1991,92,WR,1
Jack Stackpool\StacJa20,1942,1942,8,FB,0
Chris Warren\WarrCh00,2000,2000,1,RB,1
Chad Hall\HallCh00,2010,2011,15,WR,1
Irving Fryar\FryaIr00,1996,1998,48,WR,1
Andre Hardy\HardAn00,1984,1984,6,RB,1
Bob Masters\MastBo20,1937,1943,16,HB,0
Jay Arnold\ArnoJa20,1937,1940,40,KR,0
Terry Hoage\HoagTe20,1986,1990,65,DB,1
Jeremy Maclin\MaclJe00,2009,2014,75,WR,1
Pete Kmetovic\KmetPe20,1946,1946,5,HB,0
Mike Reichenbach\ReicMi20,1984,1989,87,MLB,1
Calvin Williams\WillCa00,1990,1996,93,WR,1
Mike Bell\BellMi00,2010,2010,5,RB,1
Terrell Watson\WatsTe00,2016,2016,1,RB,1
Jalen Reagor\ReagJa00,2020,2020,11,WR,1
Joe Pilconis\PilcJo20,1934,1937,32,E,0
Tony Hunt\HuntTo01,2007,2008,14,RB,1
Ronnie Blye\BlyeRo00,1969,1969,14,RB,1
Greg Oliver\OlivGr00,1973,1974,25,RB,1
Brad Myers\MyerBr20,1958,1958,9,B,0
Ted Laux\LauxTe20,1943,1944,5,HB,0
Stanley Havili\HaviSt00,2012,2012,15,FB,1
Paul Dudley\DudlPa00,1963,1963,10,HB,1
Larry Conjar\ConjLa00,1968,1968,14,RB,1
Steve Atkins\AtkiSt00,1981,1981,1,RB,1
