PlayerName,YearFrom,YearTo,GamesPlayed,Position,After1960
Byron Lee\LeexBy20,1986,1987,6,LB,1
Michael Lewis\LewiMi99,2002,2006,76,SS,1
Ryan Lewis\LewiRy01,2019,2019,2,DB,1
Trevard Lindley\LindTr99,2010,2010,11,DB,1
Vic Lindskog\LindVi20,1944,1951,78,C,0
Bennie Logan\LogaBe00,2013,2016,59,DT,1
Randy Logan\LogaRa20,1973,1983,159,SS,1
Chris Long\LongCh99,2017,2018,32,DE,1
Tom Louderback\LoudTo20,1958,1959,24,MLB,0
Rick Lovato\LovaRi00,2016,2020,67,LS,1
Clarence Love\LoveCl20,1998,1998,6,DB,1
Avonte Maddox\MaddAv00,2018,2020,35,CB,1
John Magee\MageJo20,1948,1955,91,G,0
Drew Mahalic\MahaDr20,1976,1978,36,RLB,1
Jordan Mailata\MailJo00,2020,2020,15,T,1
Mike Mamula\MamuMi20,1995,2000,77,RDE,1
Bap Manzini\ManzBa20,1944,1948,22,C,0
Chris Maragos\MaraCh99,2014,2017,53,FS,1
Duke Maronic\MaroDu20,1944,1950,67,G,0
Curtis Marsh\MarsCu01,2011,2013,24,CB,1
Anthony Marshall\MarsAn20,1998,1998,16,DB,1
Keyonta Marshall\MarsKe20,2005,2005,1,DT,1
Larry Marshall\MarsLa20,1974,1977,44,PR,1
Aaron Martin\MartAa20,1966,1967,28,PR,1
Steve Martin\MartSt21,1998,1999,25,DT,1
Casey Matthews\MattCa00,2011,2014,64,MLB,1
Menil Mavraides\MavrMe20,1954,1957,24,G,0
Byron Maxwell\MaxwBy00,2015,2015,14,CB,1
Jermane Mayberry\MaybJe00,1996,2004,112,RG,1
Joe Mays\MaysJo99,2008,2009,13,MLB,1
Jerry Mazzanti\MazzJe20,1963,1963,5,DE,1
Mike McClellan\McClMi20,1962,1963,24,DB,1
Matt McCoy\McCoMa20,2005,2007,26,LB,1
Jim McCusker\McCuJi20,1959,1962,51,LT,1
Dexter McDougle\McDoDe00,2017,2018,10,CB,1
Jerome McDougle\McDoJe20,2003,2006,33,DE,1
T.Y. McGill\McGiT.00,2018,2020,9,DT,1
Marlin McKeever\McKeMa00,1973,1973,13,MLB,1
Leodis McKelvin\McKeLe99,2016,2016,13,KR,1
Raleigh McKenzie\McKeRa20,1995,1996,32,C,1
Rodney McLeod\McLeRo00,2016,2020,62,S,1
Mark McMillian\McMiMa20,1992,1995,64,LCB,1
Marvin McNutt\McNuMa00,2012,2012,4,WR,1
Tim McTyer\McTyTi20,1997,1998,26,DB,1
Steven Means\MeanSt00,2016,2017,14,DE,1
Ron Medved\MedvRo20,1966,1970,51,DB,1
John Mellekas\MellJo20,1963,1963,11,C,1
John Meyers\MeyeJo21,1964,1967,56,RDT,1
Rich Miano\MianRi20,1991,1994,64,DB,1
Quintin Mikell\MikeQu20,2003,2010,123,DB,1
Keith Millard\MillKe00,1993,1993,14,RDT,1
Jalen Mills\MillJa02,2016,2020,63,CB,1
Mark Mitchell\MitcMa21,1977,1977,14,DB,1
Randall Mitchell\MitcRa20,1987,1987,3,NT,1
Damon Moore\MoorDa20,1999,2001,48,SS,1
Zeke Moreno\MoreZe20,2005,2005,4,MLB,1
Sean Morey\MoreSe00,2001,2003,19,WR,1
Mike Morgan\MorgMi20,1964,1967,50,LLB,1
Guy Morriss\MorrGu20,1973,1983,158,C,1
Al Nelson\NelsAl20,1965,1973,105,LCB,1
Tom Nelson\NelsTo00,2011,2011,4,DB,1
Jim Nettles\NettJi20,1965,1968,54,DB,1
Haloti Ngata\NgatHa20,2018,2018,13,NT,1
Maury Nipp\NippMa20,1952,1956,25,LG,0
John Nocera\NoceJo20,1959,1962,48,LLB,1
Mark Nordquist\NordMa20,1968,1974,96,RG,1
Derrick Oden\OdenDe20,1993,1995,35,LB,1
Bob Oristaglio\OrisBo20,1952,1952,4,DE,0
Joe Ostman\OstmJo00,2020,2020,3,DE,1
John Outlaw\OutlJo20,1973,1978,76,LCB,1
Don Owens\OwenDo20,1958,1960,27,LDT,1
Jarrad Page\PageJa20,2011,2011,6,FS,1
Lonnie Palelei\PaleLo20,1999,1999,16,G,1
Joe Panos\PanoJo20,1994,1997,54,G,1
Artimus Parker\ParkAr20,1974,1976,42,DB,1
Juqua Parker\ThomJu20,2005,2011,105,DE,1
Will Parks\ParkWi01,2020,2020,6,S,1
Marcus Paschal\PascMa99,2007,2007,3,DB,1
Dimitri Patterson\PattDi20,2009,2010,27,DB,1
Mike Patterson\PattMi20,2005,2012,115,LDT,1
Jerry Patton\PattJe20,1974,1974,14,RDT,1
Bob Pellegrini\PellBo20,1956,1961,59,LLB,1
William Perry\PerrWi20,1993,1994,24,RDT,1
Floyd Peters\PeteFl00,1964,1969,70,LDT,1
Jason Peters\PeteJa21,2009,2020,148,LT,1
Will Peterson\PeteWi20,2006,2007,17,RCB,1
Gary Pettigrew\PettGa20,1966,1974,106,RDT,1
Ray Phillips\PhilRa21,1987,1987,3,LB,1
Ray Phillips\PhilRa20,1978,1981,53,LB,1
Bob Picard\PicaBo20,1973,1976,46,WR,1
Mike Pitts\PittMi20,1987,1992,75,DT,1
Geoffrey Pope\PopeGe20,2009,2009,1,DB,1
Ron Porter\PortRo21,1969,1972,50,LLB,1
Art Powell\PoweAr00,1959,1959,12,SE,0
Jordan Poyer\PoyeJo00,2013,2013,3,CB,1
Steve Preece\PreeSt20,1970,1972,22,FS,1
Chris Prosinski\ProsCh00,2014,2014,8,S,1
Elijah Qualls\QualEl00,2017,2017,6,DT,1
LaJuan Ramsey\RamsLa20,2006,2007,15,DT,1
Nate Ramsey\RamsNa20,1963,1972,134,LS,1
Ryan Rau\RauxRy00,2012,2012,4,LB,1
Sam Rayburn\RaybSa20,2003,2006,53,DT,1
Jimmy Raye\RayeJi20,1969,1969,2,DB,1
Montae Reagor\ReagMo20,2007,2007,7,DT,1
Dave Recher\RechDa20,1965,1968,46,C,1
J.R. Reed\ReedJ.20,2004,2008,34,DB,1
Ike Reese\ReesIk99,1998,2004,112,LB,1
Ken Reeves\ReevKe20,1985,1989,69,T,1
Jerry Reichow\ReicJe00,1960,1960,12,E,1
Mike Reid\ReidMi21,1993,1994,12,DB,1
Leonard Renfro\RenfLe20,1993,1994,23,DT,1
Will Renfro\RenfWi20,1961,1961,14,DT,1
Ed Reynolds\ReynEd00,2014,2015,6,FS,1
LaRoy Reynolds\ReynLa00,2018,2018,16,LB,1
Bobby Richards\RichBo20,1962,1965,56,RDE,1
Jess Richardson\RichJe01,1953,1961,97,LDT,1
Hassan Ridgeway\RidgHa00,2019,2020,14,DT,1
Duke Riley\RileDu00,2019,2020,25,OLB,1
Dave Rimington\RimiDa20,1988,1989,22,C,1
Joe Robb\RobbJo00,1959,1960,24,LDE,1
Nickell Robey-Coleman\RobeNi00,2020,2020,15,CB,1
Jerry Robinson\RobiJe02,1979,1984,87,LILB,1
Patrick Robinson\RobiPa99,2017,2017,16,DB,1
Ramzee Robinson\RobiRa99,2009,2009,3,DB,1
Wayne Robinson\RobiWa00,1952,1956,58,RLB,0
Dominique Rodgers-Cromartie\RodgDo99,2011,2012,29,RCB,1
Dan Rogas\RogaDa20,1952,1952,10,RG,0
Brian Rolle\RollBr00,2011,2012,20,LB,1
Bill Romanowski\RomaBi00,1994,1995,32,LLB,1
Dedrick Roper\RopeDe20,2005,2006,14,LB,1
Ken Rose\RoseKe20,1990,1994,61,LB,1
Tim Rossovich\RossTi00,1968,1971,55,MLB,1
Allen Rossum\RossAl99,1998,1999,31,KR,1
Eric Rowe\RoweEr00,2015,2015,16,CB,1
Jon Runyan\RunyJo20,2000,2008,144,RT,1
Anthony Rush\RushAn00,2019,2019,9,NT,1
DeMeco Ryans\RyanDe20,2012,2015,54,MLB,1
Tom Saidock\SaidTo20,1957,1957,11,LDT,0
Asante Samuel\SamuAs20,2008,2011,56,LCB,1
John Sanders\SandJo21,1977,1979,30,FS,1
George Savitsky\SaviGe20,1948,1949,24,T,0
Orlando Scandrick\ScanOr99,2019,2019,3,DB,1
Mike Schad\SchaMi20,1989,1993,55,LG,1
Jim Schrader\SchrJi00,1962,1964,40,C,1
Jody Schulz\SchuJo21,1983,1987,44,LB,1
Jake Scott\ScotJa21,2012,2012,7,RG,1
Tom Scott\ScotTo00,1953,1958,72,LDE,0
Ben Scotti\ScotBe20,1962,1963,23,LCB,1
Vic Sears\SearVi20,1941,1953,131,LT,0
Andrew Sendejo\SendAn00,2019,2019,9,S,1
Isaac Seumalo\SeumIs00,2016,2020,61,OG,1
Kevon Seymour\SeymKe00,2020,2020,2,CB,1
Bob Shann\ShanBo20,1965,1967,10,DB,1
Ed Sharkey\SharEd20,1954,1955,19,LB,0
Lito Sheppard\ShepLi99,2002,2008,93,DB,1
Jason Short\ShorJa20,2004,2006,29,LB,1
Clyde Simmons\SimmCl00,1986,1993,124,RDE,1
Corey Simon\SimoCo00,2000,2004,78,LDT,1
David Sims\SimsDa01,2012,2012,15,S,1
Ernie Sims\SimsEr20,2010,2010,15,RLB,1
Michael Sinclair\SincMi00,2002,2002,4,LDE,1
Alex Singleton\SingAl00,2019,2020,26,LB,1
Jerry Sisemore\SiseJe00,1973,1984,156,RT,1
Jim Skaggs\SkagJi20,1963,1972,100,RG,1
Mark Slater\SlatMa20,1979,1983,73,C,1
Darius Slay\SlayDa00,2020,2020,15,CB,1
Jeremy Slechta\SlecJe20,2002,2002,13,DT,1
Jessie Small\SmalJe20,1989,1991,47,RLB,1
Fred Smalls\SmalFr21,1987,1987,3,LB,1
Ben Smith\SmitBe21,1990,1993,39,LCB,1
C.J. Smith\SmitC.00,2016,2016,10,CB,1
Darrin Smith\SmitDa22,1997,1997,7,RLB,1
Daryle Smith\SmitDa25,1990,1992,33,T,1
Ed Smith\SmitEd00,1999,1999,7,TE,1
J.D. Smith\SmitJ.02,1959,1963,65,RT,1
Marcus Smith\SmitMa03,2014,2016,37,DE,1
Otis Smith\SmitOt20,1991,1994,62,RCB,1
Rashad Smith\SmitRa02,2020,2020,2,LB,1
Steve Smith\SmitSt20,1971,1974,55,T,1
Lum Snyder\SnydLu00,1952,1958,59,RT,0
John Sodaski\SodaJo20,1972,1973,18,RLB,1
Ron Solt\SoltRo00,1988,1991,44,RG,1
Isaac Sopoaga\SopoIs20,2013,2013,8,LDE,1
Akeem Spence\SpenAk00,2019,2019,6,DT,1
Takeo Spikes\SpikTa00,2007,2007,14,RLB,1
Damion Square\SquaDa00,2013,2013,10,DE,1
Matt Stevens\StevMa22,1997,1998,18,DB,1
Walt Stickel\SticWa20,1950,1951,23,T,0
Thomas Strauthers\StraTh20,1983,1986,47,DE,1
Donald Strickland\StriDo20,2005,2005,3,DB,1
Danny Stubbs\StubDa20,1995,1995,16,DE,1
Leo Sugar\SugaLe00,1961,1961,14,LDE,1
Chandon Sullivan\SullCh00,2018,2018,5,CB,1
Tre Sullivan\SullTr01,2018,2018,12,S,1
Mitch Sutton\SuttMi23,1974,1975,18,DE,1
Josh Sweat\SweaJo00,2018,2020,39,DE,1
Ben Tamburello\TambBe20,1987,1990,50,G,1
Darryl Tapp\TappDa20,2010,2012,39,DE,1
George Tarasovic\TaraGe20,1963,1965,31,LDE,1
Bobby Taylor\TaylBo00,1995,2003,119,RCB,1
Davion Taylor\TaylDa01,2020,2020,12,LB,1
Daniel Te'o-Nesheim\Teo-Da99,2010,2010,6,DE,1
Hollis Thomas\ThomHo20,1996,2005,126,LDT,1
Johnny Thomas\ThomJo24,1996,1996,9,DB,1
Tra Thomas\ThomTr00,1998,2008,166,LT,1
William Thomas\ThomWi00,1991,1999,140,RLB,1
Broderick Thompson\ThomBr22,1993,1994,24,RT,1
Cedric Thornton\ThorCe00,2012,2015,61,DE,1
Walter Thurmond\ThurWa99,2015,2015,16,DB,1
Pago Togafau\TogaPa99,2007,2007,7,LB,1
Mel Tom\TomxMe20,1967,1973,88,RDE,1
Greg Townsend\TownGr00,1994,1994,16,DE,1
Greg Tremble\TremGr20,1995,1995,4,DB,1
Jeremiah Trotter\TrotJe00,1998,2009,116,MLB,1
Stephen Tulloch\TullSt20,2016,2016,12,MLB,1
Destiny Vaeao\VaeaDe01,2016,2018,33,DT,1
Halapoulivaati Vaitai\VaitHa00,2016,2019,55,OT,1
Troy Vincent\VincTr00,1996,2003,118,LCB,1
Kimo von Oelhoffen\vonOKi20,2007,2007,8,RDE,1
Darwin Walker\WalkDa21,2001,2006,87,RDT,1
Joe Walker\WalkJo01,2017,2017,12,ILB,1
Al Wallace\WallAl20,1997,1998,16,DE,1
K'Von Wallace\WallKV00,2020,2020,15,S,1
Stan Walters\WaltSt00,1975,1983,127,LT,1
Matt Ware\WareMa20,2004,2005,28,DB,1
Andre Waters\WateAn20,1984,1993,137,SS,1
Danny Watkins\WatkDa00,2011,2012,23,G,1
Jaylen Watkins\WatkJa01,2014,2017,36,CB,1
Tim Watson\WatsTi20,1997,1997,3,DB,1
Nate Wayne\WaynNa20,2003,2004,25,LB,1
Jim Weatherall\WeatJi00,1955,1957,36,DT,0
Chuck Weber\WebeCh21,1959,1961,38,LB,1
John Welbourn\WelbJo20,1999,2003,56,LG,1
Harold Wells\WellHa20,1965,1968,56,RLB,1
Jeff Wenzel\WenzJe20,1987,1987,3,T,1
Troy West\WestTr20,1987,1987,3,DB,1
Mark Wheeler\WheeMa20,1999,1999,13,LDT,1
Reggie White\WhitRe00,1985,1992,121,LDE,1
Tracy White\WhitTr20,2008,2009,26,LB,1
Brandon Whiting\WhitBr21,1998,2003,88,LDE,1
Dave Whitmore\WhitDa22,1995,1995,3,DB,1
Fred Whittingham\WhitFr21,1966,1971,18,MLB,1
Barry Wilburn\WilbBa20,1995,1996,23,DB,1
Ben Williams\WillBe20,1999,1999,3,DT,1
Cary Williams\WillCa99,2013,2014,32,DB,1
Joel Williams\WillJo24,1983,1985,39,ROLB,1
Raequan Williams\WillRa03,2020,2020,6,DT,1
Trevor Williams\WillTr05,2020,2020,2,CB,1
Tyrone Williams\WillTy21,1999,2000,7,DE,1
James Willis\WillJa28,1995,1998,52,MLB,1
Brenard Wilson\WilsBr20,1979,1987,118,DB,1
Jerry Wilson\WilsJe21,1959,1960,16,DE,1
Dennis Wirgowski\WirgDe20,1973,1973,13,RDE,1
Al Wistert\WistAl00,1943,1951,95,RT,0
Will Witherspoon\WithWi20,2009,2009,11,RLB,1
Alex Wojciechowicz\WojcAl20,1946,1950,48,C,0
Earl Wolff\WolfEa00,2013,2014,18,SS,1
Marc Woodard\WoodMa21,1994,1996,48,LB,1
Mike Woulfe\WoulMi20,1962,1962,13,LB,1
Sylvester Wright\WrigSy20,1995,1996,22,DE,1
Al Wukits\WukiAl20,1943,1943,10,C,0
Frank Wydo\WydoFr20,1952,1957,72,RT,0
John Wyhonic\WyhoJo20,1946,1947,23,G,0
Dexter Wynn\WynnDe20,2004,2006,28,DB,1
Will Wynn\WynnWi20,1973,1976,54,RDE,1
Adrian Young\YounAd20,1968,1972,40,LLB,1
Roynell Young\YounRo00,1980,1988,117,LCB,1
Sid Youngelman\YounSi20,1956,1958,29,DT,0
Eric Zomalt\ZomaEr20,1994,1996,30,DB,1
Mike Zordich\ZordMi20,1994,1998,79,SS,1
